SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
0,"<div id=sub0in0"" class=""noChange"">Good</div>""",#sub0in0,Good,noChange,11.246,1436443123441,1436443125694," ""718""",525.921875,718,525,90,42
0,"<div id=sub0in1"" class=""noChange"">evening.</div>""",#sub0in1,evening.,noChange,11.246,1436443123441,1436443125694," ""718""",623.09375,718,623,132,42
1,"<div id=sub1in0"" class=""noChange"">At</div>""",#sub1in0,At,noChange,13.831,1436443125944,1436443130205," ""718""",223.3984375,718,223,41,42
1,"<div id=sub1in1"" class=""noChange"">the</div>""",#sub1in1,the,noChange,13.831,1436443125944,1436443130205," ""718""",272.5234375,718,272,56,42
1,"<div id=sub1in2"" class=""noChange"">beginning</div>""",#sub1in2,beginning,noChange,13.831,1436443125944,1436443130205," ""718""",335.8984375,718,335,150,42
1,"<div id=sub1in3"" class=""noChange"">Brunelleschi's</div>""",#sub1in3,Brunelleschi's,noChange,13.831,1436443125944,1436443130205," ""718""",493.5859375,718,493,208,42
1,"<div id=sub1in4"" class=""noChange"">Dome</div>""",#sub1in4,Dome,noChange,13.831,1436443125944,1436443130205," ""718""",708.8984375,718,708,97,42
1,"<div id=sub1in5"" class=""noChange"">was</div>""",#sub1in5,was,noChange,13.831,1436443125944,1436443130205," ""718""",813.1484375,718,813,68,42
1,"<div id=sub1in6"" class=""noChange"">a</div>""",#sub1in6,a,noChange,13.831,1436443125944,1436443130205," ""718""",888.9453125,718,888,29,42
1,"<div id=sub1in7"" class=""noChange"">concept.</div>""",#sub1in7,concept.,noChange,13.831,1436443125944,1436443130205," ""718""",925.6328125,718,925,132,42
2,"<div id=sub2in0"" class=""noChange"">It</div>""",#sub2in0,It,noChange,18.183,1436443130456,1436443132210," ""718""",465.5546875,718,465,29,42
2,"<div id=sub2in1"" class=""noChange"">had</div>""",#sub2in1,had,noChange,18.183,1436443130456,1436443132210," ""718""",502.2265625,718,502,64,42
2,"<div id=sub2in2"" class=""noChange"">to</div>""",#sub2in2,to,noChange,18.183,1436443130456,1436443132210," ""718""",574.5078125,718,574,38,42
2,"<div id=sub2in3"" class=""noChange"">be</div>""",#sub2in3,be,noChange,18.183,1436443130456,1436443132210," ""718""",620.0859375,718,620,46,42
2,"<div id=sub2in4"" class=""noChange"">invented.</div>""",#sub2in4,invented.,noChange,18.183,1436443130456,1436443132210," ""718""",674.5703125,718,674,141,42
3,"<div id=sub3in0"" class=""noChange"">Just</div>""",#sub3in0,Just,noChange,20.176,1436443132460,1436443135466," ""718""",371.09375,718,371,69,42
3,"<div id=sub3in1"" class=""noChange"">like</div>""",#sub3in1,like,noChange,20.176,1436443132460,1436443135466," ""718""",448.671875,718,448,59,42
3,"<div id=sub3in2"" class=""noChange"">the</div>""",#sub3in2,the,noChange,20.176,1436443132460,1436443135466," ""718""",515.578125,718,515,56,42
3,"<div id=sub3in3"" class=""noChange control"">the</div>""",#sub3in3,the,control,20.176,1436443132460,1436443135466," ""718""",578.953125,718,578,56,42
3,"<div id=sub3in4"" class=""noChange control"">horse</div>""",#sub3in4,horse,control,20.176,1436443132460,1436443135466," ""718""",642.328125,718,642,91,42
3,"<div id=sub3in5"" class=""noChange control"">who</div>""",#sub3in5,who,control,20.176,1436443132460,1436443135466," ""718""",741.265625,718,741,69,42
3,"<div id=sub3in6"" class=""noChange control"">raced</div>""",#sub3in6,raced,control,20.176,1436443132460,1436443135466," ""718""",818.859375,718,818,91,42
4,"<div id=sub4in0"" class=""noChange"">The</div>""",#sub4in0,The,noChange,24.986,1436443137220,1436443141229," ""718""",191.53125,718,191,66,42
4,"<div id=sub4in1"" class=""noChange"">Internet</div>""",#sub4in1,Internet,noChange,24.986,1436443137220,1436443141229," ""718""",265.5625,718,265,120,42
4,"<div id=sub4in2"" class=""noChange"">is</div>""",#sub4in2,is,noChange,24.986,1436443137220,1436443141229," ""718""",392.96875,718,392,35,42
4,"<div id=sub4in3"" class=""noChange"">nothing</div>""",#sub4in3,nothing,noChange,24.986,1436443137220,1436443141229," ""718""",434.96875,718,434,116,42
4,"<div id=sub4in4"" class=""noChange"">without</div>""",#sub4in4,without,noChange,24.986,1436443137220,1436443141229," ""718""",558.84375,718,558,113,42
4,"<div id=sub4in5"" class=""noChange control"">dog</div>""",#sub4in5,dog,control,24.986,1436443137220,1436443141229," ""718""",679.125,718,679,64,42
4,"<div id=sub4in6"" class=""noChange control"">and</div>""",#sub4in6,and,control,24.986,1436443137220,1436443141229," ""718""",751.40625,718,751,64,42
4,"<div id=sub4in7"" class=""noChange control"">lines</div>""",#sub4in7,lines,control,24.986,1436443137220,1436443141229," ""718""",823.6875,718,823,77,42
4,"<div id=sub4in8"" class=""noChange"">a</div>""",#sub4in8,a,noChange,24.986,1436443137220,1436443141229," ""718""",908.390625,718,908,29,42
4,"<div id=sub4in9"" class=""noChange"">computer</div>""",#sub4in9,computer,noChange,24.986,1436443137220,1436443141229," ""718""",945.078125,718,945,144,42
5,"<div id=sub5in0"" class=""noChange"">a</div>""",#sub5in0,a,noChange,29.212,1436443141479,1436443143482," ""718""",457.578125,718,457,29,42
5,"<div id=sub5in1"" class=""noChange"">modem</div>""",#sub5in1,modem,noChange,29.212,1436443141479,1436443143482," ""718""",494.265625,718,494,117,42
5,"<div id=sub5in2"" class=""noChange"">and</div>""",#sub5in2,and,noChange,29.212,1436443141479,1436443143482," ""718""",619.859375,718,619,65,42
5,"<div id=sub5in3"" class=""noChange"">the</div>""",#sub5in3,the,noChange,29.212,1436443141479,1436443143482," ""718""",692.140625,718,692,55,42
5,"<div id=sub5in4"" class=""noChange"">like.</div>""",#sub5in4,like.,noChange,29.212,1436443141479,1436443143482," ""718""",755.515625,718,755,68,42
6,"<div id=sub6in0"" class=""noChange"">To</div>""",#sub6in0,To,noChange,33.438,1436443145734,1436443149243," ""718""",220.25,718,220,48,42
6,"<div id=sub6in1"" class=""noChange"">build</div>""",#sub6in1,build,noChange,33.438,1436443145734,1436443149243," ""718""",276.484375,718,276,79,42
6,"<div id=sub6in2"" class=""noChange"">the</div>""",#sub6in2,the,noChange,33.438,1436443145734,1436443149243," ""718""",362.984375,718,362,56,42
6,"<div id=sub6in3"" class=""noChange"">Dome</div>""",#sub6in3,Dome,noChange,33.438,1436443145734,1436443149243," ""718""",426.359375,718,426,96,42
6,"<div id=sub6in4"" class=""noChange control"">Barack</div>""",#sub6in4,Barack,control,33.438,1436443145734,1436443149243," ""718""",530.609375,718,530,111,42
6,"<div id=sub6in5"" class=""noChange control"">Obama</div>""",#sub6in5,Obama,control,33.438,1436443145734,1436443149243," ""718""",649.09375,718,649,116,42
6,"<div id=sub6in6"" class=""noChange"">invented</div>""",#sub6in6,invented,noChange,33.438,1436443145734,1436443149243," ""718""",772.921875,718,772,132,42
