SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
0,"<div id=sub0in0"" class=""noChange"">Hello</div>""",#sub0in0,Hello,noChange,13.085,1436442860313,1436442862067," ""718""",399.2265625,718,399,84,42
0,"<div id=sub0in1"" class=""noChange"">I</div>""",#sub0in1,I,noChange,13.085,1436442860313,1436442862067," ""718""",491.0390625,718,491,19,42
0,"<div id=sub0in2"" class=""noChange"">only</div>""",#sub0in2,only,noChange,13.085,1436442860313,1436442862067," ""718""",518.8203125,718,518,70,42
0,"<div id=sub0in3"" class=""noChange"">have</div>""",#sub0in3,have,noChange,13.085,1436442860313,1436442862067," ""718""",596.4140625,718,596,80,42
0,"<div id=sub0in4"" class=""noChange"">four</div>""",#sub0in4,four,noChange,13.085,1436442860313,1436442862067," ""718""",684.6953125,718,684,66,42
0,"<div id=sub0in5"" class=""noChange"">minutes</div>""",#sub0in5,minutes,noChange,13.085,1436442860313,1436442862067," ""718""",758.7265625,718,758,123,42
1,"<div id=sub1in0"" class=""noChange"">so</div>""",#sub1in0,so,noChange,15.186,1436442862317,1436442865824," ""718""",189.046875,718,189,44,42
1,"<div id=sub1in1"" class=""noChange"">I</div>""",#sub1in1,I,noChange,15.186,1436442862317,1436442865824," ""718""",241.734375,718,241,20,42
1,"<div id=sub1in2"" class=""noChange"">will</div>""",#sub1in2,will,noChange,15.186,1436442862317,1436442865824," ""718""",269.515625,718,269,55,42
1,"<div id=sub1in3"" class=""noChange"">try</div>""",#sub1in3,try,noChange,15.186,1436442862317,1436442865824," ""718""",332.84375,718,332,47,42
1,"<div id=sub1in4"" class=""noChange"">to</div>""",#sub1in4,to,noChange,15.186,1436442862317,1436442865824," ""718""",387.28125,718,387,37,42
1,"<div id=sub1in5"" class=""noChange"">tell</div>""",#sub1in5,tell,noChange,15.186,1436442862317,1436442865824," ""718""",432.859375,718,432,52,42
1,"<div id=sub1in6"" class=""noChange"">you</div>""",#sub1in6,you,noChange,15.186,1436442862317,1436442865824," ""718""",492.65625,718,492,63,42
1,"<div id=sub1in7"" class=""noChange"">briefly</div>""",#sub1in7,briefly,noChange,15.186,1436442862317,1436442865824," ""718""",563.140625,718,563,96,42
1,"<div id=sub1in8"" class=""noChange"">about</div>""",#sub1in8,about,noChange,15.186,1436442862317,1436442865824," ""718""",667.390625,718,667,91,42
1,"<div id=sub1in9"" class=""noChange"">the</div>""",#sub1in9,the,noChange,15.186,1436442862317,1436442865824," ""718""",766.359375,718,766,55,42
1,"<div id=sub1in10"" class=""noChange"">last</div>""",#sub1in10,last,noChange,15.186,1436442862317,1436442865824," ""718""",829.734375,718,829,61,42
1,"<div id=sub1in11"" class=""noChange"">seven</div>""",#sub1in11,seven,noChange,15.186,1436442862317,1436442865824," ""718""",898.421875,718,898,96,42
1,"<div id=sub1in12"" class=""noChange"">years</div>""",#sub1in12,years,noChange,15.186,1436442862317,1436442865824," ""718""",1002.703125,718,1002,89,42
2,"<div id=sub2in0"" class=""noChange"">I</div>""",#sub2in0,I,noChange,20.147,1436442867328,1436442870836," ""718""",84.359375,718,84,20,42
